date,elec_pro,elec,operating reserve,rate,industry,people,核一#1(萬瓩),核一#2(萬瓩),核二#1(萬瓩),核二#2(萬瓩),核三#1,核三#2,LK#1,LK#2,林口#3,TC#1,TC#2,台中#3,台中#4,台中#5,台中#6,台中#7,台中#8,台中#9,台中#10,XD#1,XD#2,興達#3,興達#4,DL#1,DL#2,HP#1,HP#2,ML#1,ML#2,麥寮#3,汽電共生,大潭 (#1-#6),通霄 (#1-#6),興達 (#1-#5),南部 (#1-#4),大林(#5-#6),海湖 (#1-#2),GG #1,XT#1,XC#1,XY#1,CH#1,豐德(#1-#2),協和 (#1-#4),氣渦輪,離島,德基,青山,谷關,天輪,馬鞍,萬大,大觀,鉅工,大觀二,明潭,碧海,立霧,龍澗,卓蘭,xl,其他小水力,風力發電,sun,holiday
20190201,26857,24709,2148,8.69,301.346,228.434,0,0,98.7,98.6,94.5,94.6,75.8,0,0,53.7,0,0,52.3,53.5,52.7,52.3,53.4,51.9,0,28.6,28.1,27.7,0,59.2,76.4,59.7,0,57,0,0,124.5,263,138.9,151.6,75.5,49.3,42,49.9,60.1,46.5,47.5,0,46.5,13.5,0,10.8,3.1,1.6,2.3,2.1,1.2,0.8,4.2,1.5,29.2,52.6,1.4,1,0.7,2.1,0,22.4,27.1,0.2,0
20190202,25623,23382,2241,9.58,278.967,211.47,0,0,98.7,98.6,94.5,94.6,75.7,0,0,53.5,0,0,52,53.3,52.7,52.2,53.5,51.8,0,29,28.4,27.8,0,75.8,76.4,59.8,0,56.9,0,0,45.8,259.5,143.3,146.1,76,65.9,41.8,0,60.1,0,48.3,0,35.1,24.9,0,8.3,3.1,2.2,2.4,2.1,1.1,0.8,4.1,1.5,33.5,85.9,5.3,1,2.3,1.8,0.1,22.2,3.2,0.4,2
20190203,24953,22915,2038,8.89,267.929,203.103,0,0,98.7,98.7,94.5,94.6,75.7,0,0,53.5,0,0,51.8,53.3,52.7,51.7,53.3,50.2,0,28.3,28.6,22.8,0,75.6,76.4,56.4,0,56.8,0,0,45,263.3,144.9,158.2,79.9,91.6,0,0,0,0,53.9,0,50.8,25.1,0,10.7,3.5,3.2,2.4,2.1,1,0.9,4.2,1.6,32.5,79.6,1.9,1,1.5,2.2,0,21.3,1.8,0.3,2
20190204,22777,20214,2563,12.68,246.263,186.679,0,0,98.7,98.7,94.6,94.6,75.7,0,0,52.6,0,0,51.9,53.6,52.2,52,53.6,51.2,0,29.2,28.5,22.9,0,75.7,37.2,0,0,56.8,0,0,45.5,260.2,119,117.3,71.1,88,0,0,0,0,0,0,0,25.3,0,10.7,2.5,1.9,2.1,1.8,0.8,0.8,4.9,1.7,27.1,68.3,1.4,0.9,1.3,1.9,0.3,22.2,46.6,2,2
20190205,22325,19992,2333,11.67,235.887,178.814,0,0,98.5,98.7,94.5,94.6,75.5,0,0,53,0,0,52.2,53.6,52.3,52.4,53.5,52.3,0,29.5,29.2,22.8,0,75.8,37.4,0,0,56.9,0,0,43.3,222.6,134.9,134.7,87.1,66.9,0,0,0,0,0,0,0,26.1,0,9.9,2.3,2.1,2.1,1.8,0.9,0.8,4.3,1.6,35.3,82.7,2.9,1,2.5,2.1,0,21,2.2,0.2,2
20190206,22258,19936,2322,11.65,237.257,179.852,0,0,98.6,98.7,94.5,94.6,75.4,0,0,53.1,0,0,52.2,53.6,52.3,52.2,53.6,52.3,0,29,28.2,22.8,0,75.8,37.3,0,0,56.8,0,0,41.5,228.7,136.8,122.5,66.3,78.8,0,0,0,0,0,0,0,26,0,9.9,3.5,2.5,2.1,1.8,0.9,0.8,5.5,2,42.3,90.8,0.7,1,3,2.6,0,20.9,1.3,0.1,2
20190207,23045,20938,2107,10.06,243.67,184.713,0,0,98.7,98.7,94.4,94.5,75.8,0,0,53.1,0,0,52,53,52,51.9,53.1,50.9,0,29.1,29.1,22.7,0,75.6,37.3,41.6,0,56.7,0,0,43.7,236.9,139.8,144.5,64.6,89.5,0,0,0,0,0,0,0,26,0,10.1,3.3,1.7,2.1,1.8,0.9,0.8,4.2,1.5,39.4,103.9,2.9,0.9,3,1.8,0,20.5,6.9,0.2,2
20190208,24696,21581,3115,14.43,253.768,192.369,0,0,98.6,98.6,94.4,94.6,75.7,0,0,52.9,0,0,51.8,53.2,52.1,51.6,52.9,51.3,0,29.2,28.1,22.9,0,75.6,76.1,46.2,0,56.8,0,0,43.1,204.2,123.6,150.3,74.9,30.8,46.1,43,0,53.1,0,0,0,26,0,10.9,0,1.1,2.1,1.8,0.9,0.8,4.3,1.6,28,68.5,0.5,0.9,2.9,1.8,0,22.6,28.4,0.2,2
20190209,25572,22436,3136,13.98,262.905,199.294,0,0,98.6,98.6,94.4,94.5,75.7,0,0,47.6,0,0,52.1,53,52,51.6,53.5,51.3,0,29.2,28.1,22.8,0,75.8,76.3,56.4,51,56.8,0,0,43.1,201.6,132.3,140.9,62.3,41.3,78.1,39.3,0,0,0,0,48.6,26,0,10.6,0,0.9,2.1,1.8,0.9,0.8,3.6,1,28.4,63.1,2.9,0.9,3,2.1,0,18.1,45.6,0.1,2
20190210,26259,23236,3023,13.01,268.156,203.276,0,0,98.7,98.6,94.4,94.6,75.8,0,0,48.1,0,0,50.8,52.9,51.8,51.1,52.8,49.3,0,29.1,28.1,22.9,0,75.8,76.4,56.5,50.6,47.1,0,0,47,227.5,134.6,161.9,77,30.7,46.1,42.1,0,53.5,2.9,0,48.7,26.1,0,10.7,3.5,2.6,2.1,1.8,1.1,0.8,6.8,2.4,31.8,60,5.8,0.9,2,0,0,21.2,33.3,0,2
20190211,28942,26667,2275,8.53,308.329,233.729,0,0,98.7,98.6,94.4,94.5,75.7,0,0,53.1,0,0,52.3,53.5,0,52,53.4,51.6,0,28.5,28.1,24.8,0,75.8,76.4,60,60.3,56.9,0,52.5,111.2,264.6,119.9,151.6,77.8,59.5,92,24,60.1,0,56.4,66.4,92.4,31,0,9.6,3.3,2,2.4,2.1,0.9,0.8,3.6,1.1,28.7,57,1.5,0.9,1.6,2,0.2,21.3,48.6,0.1,0
20190212,29628,27768,1860,6.7,327.839,248.517,0,0,98.6,98.6,94.4,94.3,75.7,0,0,53,0,0,52.1,53.4,0,51.8,53.3,51.6,0,28.6,28.1,24.6,0,75.8,76.4,60.1,60.2,56.9,0,57.1,111.4,293.6,135,156.6,76.3,57.9,92,48.6,60.2,53.1,55.4,66.5,103.1,27.3,0.1,10,3.5,2.4,2.3,2,1.1,0.8,4.7,1.6,15.1,65.5,2.9,0.9,3,1.8,0,20.9,25.4,0.1,0
20190213,29614,27699,1915,6.91,333.045,252.465,0,0,98.5,98.4,94.4,94.3,75.6,0,0,53.5,0,0,52,53.5,0,51.9,52.6,51.4,0,33.2,40,24.7,0,76,76.4,59.4,60.2,56.8,0,57.1,117.1,276.4,137.5,142.1,58.8,89.6,92,49.1,60.2,53,55.3,66.4,102,26.4,0,9.8,3.2,2,2.3,2.1,1,0.8,3.7,1.1,14.3,51.3,1.5,0.8,2,1.8,0,21.5,39.6,0,0
20190214,30193,28250,1943,6.88,335.846,254.587,0,0,98.4,98.3,94.4,94.5,75.7,0,0,53.6,0,0,52.2,53.5,0,51.8,53.7,51.5,0,33,39.9,24.7,0,75.8,76.4,59.7,60.2,56.8,0,57.1,121.4,272.9,138.2,160.9,62.5,74.6,92,49.4,60.2,50.2,55.2,66.4,95.2,57.1,0,11.1,3.3,2.3,2.3,2,1,0.8,4.2,1.5,29.8,49.3,5.3,0.9,2.9,0,0.2,20.6,33.6,0,0
20190215,30221,28262,1959,6.93,337.226,255.633,0,0,98.4,98.3,94.4,94.5,75.7,0,0,53.1,0,0,52,53.4,0,51.9,53.7,51.4,0,39,28.4,24.7,0,75.8,76.4,60.2,60.2,56.9,0,57.1,131.1,271.3,144.2,148.3,65,87.1,86.8,47.9,60.2,45.9,55.2,66.4,93.9,57.1,0,8.3,1.9,2.9,2.3,2,1.1,0.8,3.8,1.3,15.3,42.5,0.5,0.8,0.6,0,0,14.8,8.7,77,0
20190216,27858,25432,2426,9.54,311.235,235.932,0,0,98.3,98.2,94.4,94.4,75.7,0,0,53.2,0,0,52.1,53.4,0,51.9,53.7,51.5,0,28.7,33.1,24.7,0,75.8,76.4,59.8,60.3,56.8,0,57.1,48.7,290.8,136,150.1,68.5,56.7,45.9,48.8,60.2,0,54.7,66.4,50.6,26.5,0,10.8,0,1.8,2.3,2.1,1.1,0.8,4.3,1.5,31.8,51.5,4.8,0.8,2.5,0,0,19.9,26.6,0.2,2
20190217,27016,24343,2673,10.98,289.13,219.174,0,0,98.2,98.1,94.4,94.5,75.7,0,0,53.1,0,0,52.2,53.2,0,52.1,53.5,51.3,0,28.6,42.9,24.7,0,75.8,76.5,56.5,51.9,47.1,0,57.2,50.9,293.8,132.2,163.7,70.9,30.7,0,45.4,0,45.4,49.1,0,91.6,26,0,11.2,4,3.6,2.3,2.1,1.1,0.8,5.5,1.7,19.7,58.1,0.5,0.8,2,0,0,19.5,35.4,0,2
20190218,30407,28645,1762,6.15,330.202,250.309,0,0,98.4,98.3,94.4,94.5,75.4,0,16,53.1,0,0,52.5,53.2,0,52.2,53.5,51,0,30.7,40,29.5,0,75.8,76.6,60.1,60.3,56.8,0,57.1,132.6,271.5,151.8,158.6,69.9,91.6,92,48.8,60.2,53.1,54.9,68.1,99.7,26.1,0,11,3.3,3.1,2.3,2.1,0.9,0.8,3.6,1.3,17.3,80.2,5.8,0.8,2.5,0,0,20.8,13,0.2,0
20190219,30767,28876,1891,6.55,342.868,259.911,0,0,98.4,98.3,94.4,94.5,75.6,0,15.9,53,0,0,52.2,53.2,0,52.2,53.5,51.2,0,33,44.1,25,0,75.6,76.3,60,60.2,56.8,0,57.2,141.3,293.9,145.3,152.7,66.7,91.6,90.6,47.5,60.2,51.7,53.2,66.3,98.3,53.6,0.1,11.2,2.8,3.2,3.2,2.8,1.6,0.8,4,1.3,16,53.3,0.5,0.9,0.3,0,0,20,8.7,37.6,0
20190220,30916,29078,1838,6.32,346.477,262.647,0,0,98.4,98.3,94.3,94.5,75.5,0,15.9,53.3,0,0,51.9,53.3,0,52.3,53.5,51,0,32.7,46.4,51.6,0,0,76.4,59.9,60.2,56.7,0,57.2,138,333.1,142.6,153.5,61.5,91.7,92,48.2,60,52.7,54.6,67.6,98.3,85.4,0,11,2.6,3.4,3.2,2.8,1.5,0.7,5.4,2,15.5,48,2.1,0.8,0.6,0,0,20,12.9,31.2,0
20190221,30725,28912,1813,6.27,346.271,262.49,0,0,98.4,98.3,94.4,94.5,75.6,0,23.9,53.1,0,0,52.1,53.3,0,52.2,53.4,51.1,0,33.2,47.8,47.5,0,0,76.6,60.2,60.2,56.8,0,57.2,113.4,312.1,145.2,151.3,70.1,91.6,92,48.5,60,53.5,55.2,68.6,100.2,83.7,0,11.1,3.7,7.3,4.4,3.8,2.6,0.3,5.3,1.9,15.5,52,2.9,0.8,2.5,1.8,0,21.4,42.8,0,0
20190222,30290,28420,1870,6.58,340.97,258.472,0,0,98.2,98.1,94.4,94.6,75.6,0,24.1,53.3,0,0,52.2,52.8,0,52.2,53.5,50.7,0,28.8,35.1,24.8,0,0,76.4,59.6,60.2,56.8,0,57.1,131,297,140,146.2,51.6,87.9,92,48.7,60,53.5,55.4,66.5,101.7,102.3,0,11.1,3.7,4,4.2,3.4,2.1,0.3,3.9,1.4,16.4,46.3,0.5,0.8,0.6,0,0,19.9,40.3,19.6,0
20190223,28452,26723,1729,6.47,324.355,245.877,0,0,98.3,98.1,94.6,94.7,75.7,0,0,53.3,0,0,52.1,53.2,0,52,53.5,48.7,0,33,42.5,24.8,0,0,76.4,60,60.2,56.8,0,57.1,46,247.9,140,131.3,65.3,80.4,45.7,49.1,60,53.1,55,66.5,102.1,59.3,0,11.1,3.4,3.5,4.2,3.4,2.2,0.3,5.9,2,10.2,34.1,0.5,0.8,0,0,0,12.5,44.5,107.2,0
